,id,station,date,prcp,tobs
0,12188,USC00519281,2010-01-01,0.15,70.0
1,12189,USC00519281,2010-01-02,0.0,62.0
2,12190,USC00519281,2010-01-03,0.0,74.0
3,12191,USC00519281,2010-01-04,0.0,75.0
4,12192,USC00519281,2010-01-05,0.0,74.0
5,12193,USC00519281,2010-01-06,0.01,76.0
6,12194,USC00519281,2010-01-07,0.17,69.0
7,12195,USC00519281,2010-01-08,0.0,66.0
8,12196,USC00519281,2010-01-09,0.0,70.0
9,12197,USC00519281,2010-01-10,0.0,75.0
10,12198,USC00519281,2010-01-11,0.03,64.0
11,12199,USC00519281,2010-01-12,0.0,60.0
12,12200,USC00519281,2010-01-13,0.0,61.0
13,12201,USC00519281,2010-01-14,0.0,68.0
14,12202,USC00519281,2010-01-15,0.0,64.0
15,12203,USC00519281,2010-01-16,0.0,66.0
16,12204,USC00519281,2010-01-17,0.0,67.0
17,12205,USC00519281,2010-01-18,0.0,70.0
18,12206,USC00519281,2010-01-19,0.0,67.0
19,12207,USC00519281,2010-01-20,0.0,67.0
20,12208,USC00519281,2010-01-21,0.16,69.0
21,12209,USC00519281,2010-01-22,0.0,60.0
22,12210,USC00519281,2010-01-23,0.0,75.0
23,12211,USC00519281,2010-01-24,0.0,75.0
24,12212,USC00519281,2010-01-25,0.0,65.0
25,12213,USC00519281,2010-01-26,0.01,75.0
26,12214,USC00519281,2010-01-27,0.31,69.0
27,12215,USC00519281,2010-01-28,0.37,67.0
28,12216,USC00519281,2010-01-29,0.75,66.0
29,12217,USC00519281,2010-01-30,2.17,69.0
30,12218,USC00519281,2010-01-31,0.69,72.0
31,12219,USC00519281,2010-02-01,0.02,67.0
32,12220,USC00519281,2010-02-02,0.0,65.0
33,12221,USC00519281,2010-02-03,0.37,64.0
34,12222,USC00519281,2010-02-04,0.0,67.0
35,12223,USC00519281,2010-02-05,0.02,67.0
36,12224,USC00519281,2010-02-06,0.0,68.0
37,12225,USC00519281,2010-02-07,0.0,69.0
38,12226,USC00519281,2010-02-08,0.0,66.0
39,12227,USC00519281,2010-02-09,0.0,69.0
40,12228,USC00519281,2010-02-10,0.0,61.0
41,12229,USC00519281,2010-02-11,0.0,71.0
42,12230,USC00519281,2010-02-12,0.08,70.0
43,12231,USC00519281,2010-02-13,0.06,70.0
44,12232,USC00519281,2010-02-14,0.0,66.0
45,12233,USC00519281,2010-02-15,0.0,71.0
46,12234,USC00519281,2010-02-16,0.0,61.0
47,12235,USC00519281,2010-02-17,0.0,68.0
48,12236,USC00519281,2010-02-18,0.0,67.0
49,12237,USC00519281,2010-02-19,0.02,62.0
50,12238,USC00519281,2010-02-20,0.57,65.0
51,12239,USC00519281,2010-02-21,0.01,69.0
52,12240,USC00519281,2010-02-22,0.22,63.0
53,12241,USC00519281,2010-02-23,0.0,62.0
54,12242,USC00519281,2010-02-24,0.0,61.0
55,12243,USC00519281,2010-02-25,0.0,64.0
56,12244,USC00519281,2010-02-26,0.01,72.0
57,12245,USC00519281,2010-02-27,0.0,68.0
58,12246,USC00519281,2010-02-28,0.12,68.0
59,12247,USC00519281,2010-03-01,0.01,68.0
60,12248,USC00519281,2010-03-02,0.0,71.0
61,12249,USC00519281,2010-03-03,0.0,69.0
